操作员	测量时间	钢板编号	钢板厚度
	2020年06月03日 15:20:52		20.022mm
123	2020年06月03日 15:22:03	321	20.011mm
	2020年06月03日 15:43:30		20.002mm
	2020年06月03日 15:43:35		20.014mm
	2020年06月03日 15:44:14		20.002mm
	2020年06月03日 15:44:17		20.008mm
	2020年06月03日 15:44:20		20.008mm
王工	2020年06月03日 15:45:30	345	20.003mm
王工	2020年06月03日 15:45:32	345	20.005mm
	15:49:15		20.012mm
徐工	15:49:50	234&……	20.002mm
徐工	15:49:52	234&……	20.005mm
徐工	15:49:55	234&……	20.007mm
